Component,Time_Window,Warn_Count,Log_Volume,Unique_Event_Count,Incident
dfs.DataBlockScanner,081109_20,0,1,1,0
dfs.DataBlockScanner,081109_21,0,1,1,0
dfs.DataBlockScanner,081110_00,0,1,1,0
dfs.DataBlockScanner,081110_01,0,1,1,0
dfs.DataBlockScanner,081110_08,0,3,1,0
dfs.DataBlockScanner,081110_09,0,1,1,0
dfs.DataBlockScanner,081110_11,0,1,1,0
dfs.DataBlockScanner,081110_12,0,1,1,0
dfs.DataBlockScanner,081110_13,0,1,1,0
dfs.DataBlockScanner,081110_15,0,2,1,0
dfs.DataBlockScanner,081110_17,0,1,1,0
dfs.DataBlockScanner,081110_18,0,1,1,0
dfs.DataBlockScanner,081110_19,0,1,1,0
dfs.DataBlockScanner,081110_23,0,1,1,0
dfs.DataBlockScanner,081111_04,0,1,1,0
dfs.DataBlockScanner,081111_07,0,1,1,0
dfs.DataBlockScanner,081111_09,0,1,1,0
dfs.DataNode,081110_21,0,1,1,1
dfs.DataNode$DataXceiver,081109_20,0,4,1,0
dfs.DataNode$DataXceiver,081109_21,7,20,3,0
dfs.DataNode$DataXceiver,081109_22,13,15,2,0
dfs.DataNode$DataXceiver,081109_23,1,15,2,0
dfs.DataNode$DataXceiver,081110_00,0,6,1,0
dfs.DataNode$DataXceiver,081110_01,0,10,1,0
dfs.DataNode$DataXceiver,081110_02,1,5,3,0
dfs.DataNode$DataXceiver,081110_03,3,5,2,0
dfs.DataNode$DataXceiver,081110_04,0,3,1,0
dfs.DataNode$DataXceiver,081110_05,0,3,1,0
dfs.DataNode$DataXceiver,081110_06,0,3,1,0
dfs.DataNode$DataXceiver,081110_07,3,10,2,0
dfs.DataNode$DataXceiver,081110_08,13,26,2,0
dfs.DataNode$DataXceiver,081110_09,6,12,2,0
dfs.DataNode$DataXceiver,081110_10,0,6,1,0
dfs.DataNode$DataXceiver,081110_11,0,27,1,0
dfs.DataNode$DataXceiver,081110_12,5,20,3,0
dfs.DataNode$DataXceiver,081110_13,11,16,2,0
dfs.DataNode$DataXceiver,081110_14,0,15,1,0
dfs.DataNode$DataXceiver,081110_15,0,8,1,0
dfs.DataNode$DataXceiver,081110_16,1,3,2,0
dfs.DataNode$DataXceiver,081110_17,4,7,2,0
dfs.DataNode$DataXceiver,081110_19,5,8,2,0
dfs.DataNode$DataXceiver,081110_20,0,1,1,0
dfs.DataNode$DataXceiver,081110_21,0,22,2,0
dfs.DataNode$DataXceiver,081110_22,0,23,1,0
dfs.DataNode$DataXceiver,081110_23,3,7,2,0
dfs.DataNode$DataXceiver,081111_00,1,6,2,0
dfs.DataNode$DataXceiver,081111_01,3,6,2,0
dfs.DataNode$DataXceiver,081111_02,0,12,2,0
dfs.DataNode$DataXceiver,081111_03,0,18,1,0
dfs.DataNode$DataXceiver,081111_04,0,22,1,0
dfs.DataNode$DataXceiver,081111_05,0,15,2,1
dfs.DataNode$DataXceiver,081111_06,0,12,1,0
dfs.DataNode$DataXceiver,081111_07,0,18,1,0
dfs.DataNode$DataXceiver,081111_08,0,19,2,1
dfs.DataNode$DataXceiver,081111_09,0,17,1,0
dfs.DataNode$DataXceiver,081111_10,0,9,1,0
dfs.DataNode$PacketResponder,081109_20,0,12,2,0
dfs.DataNode$PacketResponder,081109_21,0,25,2,0
dfs.DataNode$PacketResponder,081109_23,0,20,2,0
dfs.DataNode$PacketResponder,081110_00,0,14,2,0
dfs.DataNode$PacketResponder,081110_01,0,52,2,0
dfs.DataNode$PacketResponder,081110_02,0,6,2,0
dfs.DataNode$PacketResponder,081110_10,0,18,2,0
dfs.DataNode$PacketResponder,081110_11,0,33,2,0
dfs.DataNode$PacketResponder,081110_12,0,23,2,0
dfs.DataNode$PacketResponder,081110_14,0,21,2,0
dfs.DataNode$PacketResponder,081110_15,0,7,2,0
dfs.DataNode$PacketResponder,081110_21,0,41,2,0
dfs.DataNode$PacketResponder,081110_22,0,34,2,0
dfs.DataNode$PacketResponder,081110_23,0,9,2,0
dfs.DataNode$PacketResponder,081111_02,0,12,2,0
dfs.DataNode$PacketResponder,081111_03,0,38,2,0
dfs.DataNode$PacketResponder,081111_04,0,35,2,0
dfs.DataNode$PacketResponder,081111_05,0,30,2,0
dfs.DataNode$PacketResponder,081111_06,0,32,2,0
dfs.DataNode$PacketResponder,081111_07,0,54,2,0
dfs.DataNode$PacketResponder,081111_08,0,39,2,0
dfs.DataNode$PacketResponder,081111_09,0,32,2,0
dfs.DataNode$PacketResponder,081111_10,0,16,2,0
dfs.FSDataset,081109_21,0,1,1,0
dfs.FSDataset,081110_10,0,68,1,0
dfs.FSDataset,081110_11,0,1,1,0
dfs.FSDataset,081110_21,0,51,1,0
dfs.FSDataset,081110_22,0,13,1,0
dfs.FSDataset,081111_02,0,22,1,0
dfs.FSDataset,081111_03,0,1,1,0
dfs.FSDataset,081111_04,0,33,1,0
dfs.FSDataset,081111_06,0,22,1,0
dfs.FSDataset,081111_07,0,23,1,0
dfs.FSDataset,081111_08,0,3,1,0
dfs.FSDataset,081111_09,0,24,1,0
dfs.FSDataset,081111_10,0,1,1,0
dfs.FSNamesystem,081109_20,0,12,2,0
dfs.FSNamesystem,081109_21,0,11,2,0
dfs.FSNamesystem,081109_23,0,13,2,0
dfs.FSNamesystem,081110_00,0,9,2,0
dfs.FSNamesystem,081110_01,0,35,2,0
dfs.FSNamesystem,081110_02,0,6,2,0
dfs.FSNamesystem,081110_10,0,79,3,0
dfs.FSNamesystem,081110_11,0,26,2,0
dfs.FSNamesystem,081110_12,0,21,2,0
dfs.FSNamesystem,081110_14,0,11,2,0
dfs.FSNamesystem,081110_15,0,17,2,0
dfs.FSNamesystem,081110_16,0,1,1,0
dfs.FSNamesystem,081110_21,0,54,4,0
dfs.FSNamesystem,081110_22,0,47,4,0
dfs.FSNamesystem,081110_23,0,6,2,0
dfs.FSNamesystem,081111_02,0,33,3,0
dfs.FSNamesystem,081111_03,0,31,3,0
dfs.FSNamesystem,081111_04,0,49,3,0
dfs.FSNamesystem,081111_05,0,21,3,0
dfs.FSNamesystem,081111_06,0,45,4,0
dfs.FSNamesystem,081111_07,0,43,3,0
dfs.FSNamesystem,081111_08,0,52,4,1
dfs.FSNamesystem,081111_09,0,29,3,0
dfs.FSNamesystem,081111_10,0,8,2,0
